"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/0.3";;"SHOW/GAME SHOW";"SPECTACLES/ÉMISSION DE JEU";"SHOW & SPELSHOW";"SHOWS/GAME SHOW";"SPECTACLES & ÉMISSION DE JEU";"SPETTACOLI & GIOCO A PREMI";"SHOWS/GAME SHOW";"ŞOV/YARIŞMA";"SHOW/GAME SHOW";"SHOWS/GAME SHOW";"show/konkurranse";"tv-show";"Vetélkedő";"rozrywka";"Show";"Show";"spectacol/concurs"
"programme_genre/DVB/0.4";;"SPORTS";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPORT";"SPOR";"SPORTS";"SPORT";"sport";"sport";"Sport";"sport";"Sport";"Šport";"sport"
"programme_genre/DVB/0.5";;"KIDS & YOUTH";"ENFANTS/JEUNESSE";"KIDS & JEUGD";"KINDER & JUGEND";"ENFANTS & JEUNESSE";"BAMBINI & RAGAZZI";"KINDER & JUGEND";"ÇOCUKLAR VE GENÇLİK";"KIDS & YOUTH";"KINDER/JUGEND";"barn/ungdom";"barn/ungdomar";"Gyermek/Ifjúsági";"dzieci i młodzież";"Dětský/Mládežnický";"Detský/Mládežnícky";"copii/tineret"
"programme_genre/DVB/0.6";;"MUSIC & DANCE";"MUSIQUE/DANSE";"MUZIEK & DANS";"MUSIK & TANZ";"MUSIQUE & DANSE";"MUSICA & DANZA";"MUSIK & TANZ";"MÜZİK VE DANS";"MUSIC & DANCE";"MUSIK/TANZ";"musikk/dans";"musik/dans";"Zene/Tánc";"muzyka";"Hudba/Tanec";"Hudba/Tanec";"muzica/dans"
"programme_genre/DVB/0.7";;"ARTS & CULTURE";"ARTS/CULTURE";"KUNST & CULTUUR";"KUNST & KULTUR";"ARTS & CULTURE";"ARTE & CULTURA";"KUNST & KULTUR";"SANAT VE KÜLTÜR";"ARTS & CULTURE";"KUNST/KULTUR";"kunst/kultur";"konst/kultur";"Művészet/Kultúra";"kultura";"Umění/Kultura";"Umenie/Kultúra";"arta/cultura"
"programme_genre/DVB/0.8";;"SOCIAL & POLITICAL";"POLITIQUE/ÉCONOMIE";"MAATSCHAPPIJ";"POLITIK & WIRTSCHAFT ";"POLITIQUE & ÉCONOMIE";"POLITICA & ECONOMIA ";"POLITIK & WIRTSCHAFT ";"SOSYAL VE POLİTİK";"SOCIAL & POLITICAL";"POLITIK/WIRTSCHAFT ";"samfunn/politikk";"samhälle/politik";"Társadalmi/Politikai";"publicystyka";"Společnost/Politika";"Spoločnosť/Politika";"social/politic"
"programme_genre/DVB/0.9";;"EDUCATIONAL";"EDUCATIF";"EDUCATIE";"BILDUNG";"EDUCATIF";"EDUCAZIONE";"BILDUNG";"EĞİTİM";"EDUCATIONAL";"BILDUNG";"utdannelse";"utbildning";"Oktatási";"edukacja";"Vzdělávací";"Vzdelávací";"educational"
"programme_genre/DVB/0.10";;"LEISURE";"LOISIRS";"VRIJE TIJD";"FREIZEIT";"LOISIRS";"TEMPO LIBERO";"FREIZEIT";"EĞLENCE";"LEISURE";"FREIZEIT";"fritid";"fritid";"Szabadidő";"czas wolny";"Volný čas";"Voľný čas";"relaxare"
"programme_genre/DVB/0.11";;"SPECIAL";"SPÉCIAL";"SPECIAL";"SPECIALS";"SPÉCIAL";"SERVIZI SPECIALI";"SPECIALS";"ÖZEL";"SPECIAL";"SPECIALS";"spesielt";"special";"Különleges";"specjalne";"Zvláštní vydání";"Zvláštene vydanie";"special"
"programme_genre/DVB/0.12";;"ENTERTAINMENT";;"ENTERTAINMENT";"UNTERHALTUNG";"DIVERTISSEMENTS";"INTRATTENIMENTO";"UNTERHALTUNG";"EĞLENCE";"ENTERTAINMENT";" ";" ";" ";" ";" ";" ";" ";" "
