"ui_resources";"1.0";;;;;;;;;;;;;;;;;
# version : 6.0.0
"object_id";"text:is_adult";"text[eng]:label";"text[fre]:label";"text[dut]:label";"text[ger-CHE]:label";"text[fre-CHE]:label";"text[ita-CHE]:label";"text[ger-DEU]:label";"text[tur]:label";"text[eng-IRL]:label";"text[ger.AUT]:label";"text[nno]:label";"text[swe]:label";"text[hun]:label";"text[pol]:label";"text[cze]:label";"text[slo]:label";"text[rum]:label"
"programme_genre/DVB/4.2";;"MAGAZINE";"MAGAZINE DE SPORTS";"SPORTMAGAZINE";"SPORT-MAGAZIN";"MAGAZINE DE SPORTS";"PROGRAMMA SPORTIVO";"SPORT-MAGAZIN";"MAGAZİN";"MAGAZINE";"SPORT-MAGAZIN";"sportsmagasin";"sportmagasin";"Magazinműsor";"magazyn";"Magazín";"Magazín";"magazin"
"programme_genre/DVB/4.3";;"FOOTBALL";"FOOTBALL";"VOETBAL";"FUßBALL";"FOOTBALL";"CALCIO";"FUßBALL";"FUTBOL";"FOOTBALL";"FUßBALL";"fotball";"fotboll";"Labdarúgás";"piłka nożna";"Fotbal";"Futbal";"fotbal"
"programme_genre/DVB/4.4";;"TENNIS";"TENNIS/SQUASH";"TENNIS";"TENNIS";"TENNIS";"TENNIS";"TENNIS";"TENİS";"TENNIS";"TENNIS/SQUASH";"tennis/squash";"tennis/squash";"Tenisz/Fallabda";"tenis/squash";"Tenis/Squash";"Tenis/Squash";"tenis/squash"
"programme_genre/DVB/4.5";;"TEAM SPORTS";"SPORT D'ÉQUIPE";"TEAMSPORTEN";"TEAMSPORT";"SPORT D'ÉQUIPE";"SPORT DI SQUADRA";"TEAMSPORT";"TAKIM OYUNLARI";"TEAM SPORTS";"TEAM SPORT";"lagspill";"lagsporter";"Csapatsportok";"sporty drużynowe";"Kolektivní hry";"Kolektívne hry";"sporturi de echipa"
"programme_genre/DVB/4.6";;"ATHLETICS";"ATHLÉTISME";"ATLETIEK";"LEICHTATHLETIK";"ATHLÉTISME";"ATLETICA LEGGERA";"LEICHTATHLETIK";"ATLETİZM";"ATHLETICS";"LEICHTATHLETIK";"friidrett";"friidrott";"Atlétika";"lekkoatletyka";"Atletika";"Atletika";"atletism"
"programme_genre/DVB/4.7";;"MOTOR SPORT";"SPORT AUTO-MOTO";"MOTORSPORT";"MOTORSPORT";"SPORT AUTO-MOTO";"MOTORI";"MOTORSPORT";"MOTOR SPORLARI";"MOTOR SPORT";"MOTORSPORT";"motorsport";"motorsport";"Motorsport";"sporty motorowe";"Motorismus";"Motorizmus";"sport cu motor"
"programme_genre/DVB/4.8";;"WATER SPORT";"SPORTS AQUATIQUES";"WATERSPORT";"WASSERSPORT";"SPORTS AQUATIQUES";"SPORT ACQUATICI";"WASSERSPORT";"SU SPORLARI";"WATER SPORT";"WASSERSPORT";"vannsport";"vattensport";"Vízi sport";"sporty wodne";"Vodní sporty";"Vodné športy";"sport acvatic"
"programme_genre/DVB/4.9";;"WINTER SPORTS";"SPORTS D'HIVER";"WINTERSPORT";"WINTERSPORT";"SPORTS D'HIVER";"SPORT INVERNALI";"WINTERSPORT";"KIŞ SPORLARI";"WINTER SPORTS";"WINTERSPORT";"vintersport";"vintersporter";"Téli sportok";"sporty zimowe";"Zimní sporty";"Zimné športy";"sporturi de iarna"
"programme_genre/DVB/4.10";;"EQUESTRIAN";"EQUITATION";"PAARDENSPORT";"REITSPORT";"EQUITATION";"EQUITAZIONE";"REITSPORT";"BİNİCİLİK";"EQUESTRIAN";"REITSPORT";"hestesport";"ridsport";"Lovassportok";"jeździectwo";"Jezdectví";"Jazdectvo";"hipism"
"programme_genre/DVB/4.11";;"MARTIAL SPORTS";"SPORTS DE COMBAT";"VECHTSPORT";"KAMPFSPORT";"SPORTS DE COMBAT";"SPORT DA COMBATTIMENTO";"KAMPFSPORT";"DÖVÜŞ SANATLARI";"MARTIAL SPORTS";"KAMPFSPORT";"kampsport";"kampsporter";"Harcművészetek";"sporty walki";"Bojová umění";"Bojové umenie";"sporturi martiale"
"programme_genre/DVB/4.12";;"WRESTLING";;"WORSTELEN";"WRESTLING";"LUTTE";"WRESTLING";"WRESTLING";"GÜREŞ";"WRESTLING";;"brottning";;"zapasy";;;"lupte";" "
"programme_genre/DVB/4.13";;"BEACH SPORTS";;"STRANDSPORTEN";"BEACHSPORT";"SPORTS DE PLAGE";"SPORT SULLA SPIAGGIA";"BEACHSPORT";"PLAJ SPORLARI";"BEACH SPORTS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/4.14";;"BOXING";;"BOKSEN";"BOXEN";"BOXE";"BOX";"BOXEN";"BOKS";"BOXING";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/4.15";;"EXTREME";;"EXTREME";"EXTREMSPORT";"SPORTS EXTRÊMES";"SPORT ESTREMI";"EXTREMSPORT";"EXTREME";"EXTREME";"EXTREMSPORT";"ekstremsport";"extremsport";"Extrém sportok";"sporty ekstremalne";"Extrémní sporty";"Extrémne športy";"extrem"
"programme_genre/DVB/5.0";;"KIDS & YOUTH";"ENFANTS/JEUNESSE";"KIDS & JEUGD";"KIDS & JUGEND";"ENFANTS/JEUNESSE";"BAMBINI/RAGAZZI";"KIDS & JUGEND";"ÇOCUKLAR VE GENÇLİK";"KIDS & YOUTH";"KINDER/JUGEND";"barn/ungdom";"barnprogram";"Gyermek/Ifjúsági";"dla dzieci/młodzieży";"Dětský/Mládežnický";"Detské/Mládežnícke";"copii/tineret"
"programme_genre/DVB/5.1";;"PRE-SCHOOL";"ENFANTS, 0-6";"KIDS 0 - 6";"KIDS, 0-6";"ENFANTS, 0-6";"ETÀ 0-6 ANNI";"KIDS, 0-6";"OKUL ÖNCESİ";"PRE-SCHOOL";"KINDER, 0-6";"barn 0-6";"förskolebarn";"Óvodásoknak";"dla dzieci 0-6 lat";"Vysílání pro školky";"Vysielanie pre škôlky";"prescolari"
"programme_genre/DVB/5.2";;"FOR AGES 6-14";"ENFANTS, 6-14";"JEUGD 6 - 14";"KIDS, 6-14";"ENFANTS, 6-14";"ETÀ 6-14 ANNI";"KIDS, 6-14";"6-14 YAŞLARI İÇİN";"FOR AGES 6-14";"KINDER, 6-14";"barn 6-14";"ålder 6-14 år";"Iskolásoknak (6-14)";"dla widzów 6-14 lat";"Vysílání pro školy (6-14)";"Vysielanie pre školy (6-14)";"pentru 6-14 ani"
"programme_genre/DVB/5.3";;"FOR AGES 10-16";"ENFANTS, 10-16";"JEUGD 10 - 16";"KIDS, 10-16";"ENFANTS, 10-16";"ETÀ 10-16 ANNI";"KIDS, 10-16";"10-16 YAŞLARI İÇİN";"FOR AGES 10-16";"KINDER, 10-16";"barn 10-16";"ålder 10-16 år";"Kamaszoknak (10-16)";"dla widzów 10-16 lat";"Vysílání pro mládež (10-16)";"Vysielanie pre mládež (10-16)";"pentru 10-16 ani"
"programme_genre/DVB/5.5";;"CARTOON";;"TEKENFILMS";"ZEICHENTRICK";"DESSINS ANIMÉS";"CARTONI ANIMATI";"ZEICHENTRICK";"ÇİZGİ FİLM";"CARTOON";"ZEICHENTRICK";"tegnefilmer";"tecknat";"Rajzfilm";"filmy animowane";"Animace";"Animácia";"desene animate"
"programme_genre/DVB/5.6";;"FOR AGES 5-15";;"KIDS 5 - 15";"KIDS, 5-15";"ENFANTS, 5-15";"ETÀ 5-15 ANNI";"KIDS, 5-15";"5-15 YAŞLARI İÇİN";"FOR AGES 5-15";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.7";;"FOR AGES 8-12";;"JEUGD 8 - 12";"KIDS, 8-12";"ENFANTS, 8-12";"ETÀ 8-12 ANNI";"KIDS, 8-12";"8-12 YAŞLARI İÇİN";"FOR AGES 8-12";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.8";;"TEENS";;"TIENERS";"TEENS";"ADOS";"RAGAZZI E RAGAZZE";"TEENS";"ÇOCUKLAR";"TEENS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.9";;"CHILD SERIES";;"KINDERSERIES";"KINDERSERIE";"SÉRIE POUR ENFANTS";"SERIE PER BAMBINI";"KINDERSERIE";"ÇOCUK DİZİLERİ";"CHILD SERIES";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.10";;"KIDS";;"KIDS";"KIDS";"ENFANTS";"BAMBINI E BAMBINE";"KIDS";"ÇOCUKLAR";"KIDS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.11";;"YOUTH";;"JEUGD";"JUGEND";"JEUNESSE";"GIOVANI";"JUGEND";"GENÇLİK";"YOUTH";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.12";;"BOYS";;"BOYS";"BUBEN";"GARÇONNETS";"BAMBINI";"BUBEN";"OĞLAN ÇOCUKLARI";"BOYS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.13";;"GIRLS";;"GIRLS";"MÄDCHEN";"FILLETTES";"BAMBINE";"MÄDCHEN";"KIZ ÇOCUKLARI";"GIRLS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.14";;"CHICKS";;"CHICKS";"MÄDELS";"FILLES";"RAGAZZE";"MÄDELS";"KIZLAR";"CHICKS";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/5.15";;"GUYS";;"GUYS";"JUNGS";"GARÇONS";"RAGAZZI";"JUNGS";"OĞLANLAR";"GUYS";"JUNGS";"kiser";"killar";;"chłopaki";;;"tineri"
"programme_genre/DVB/6.0";;"MUSIC";"MUSIQUE";"MUZIEK";"MUSIK";"MUSIQUE";"MUSICA";"MUSIK";"MÜZİK";"MUSIC";"MUSIK/TANZ";"musikk";"musik";"Zene";"muzyka";"Hudba";"Hudba";"muzica"
"programme_genre/DVB/6.1";;"ROCK & POP";"ROCK/POP";"ROCK & POP";"ROCK & POP";"ROCK/POP";"ROCK & POP";"ROCK & POP";"ROCK & POP";"ROCK & POP";"ROCK/POP";"rock/pop";"rock/pop";"Rock/Pop";"rock/pop";"Rock/Pop";"Rock/Pop";"rock/pop"
"programme_genre/DVB/6.2";;"CLASSICAL";"CLASSIQUE";"KLASSIEK";"KLASSIK";"CLASSIQUE";"MUSICA CLASSICA";"KLASSIK";"KLASİK";"CLASSICAL";"KLASSIK";"klassisk";"klassisk";"Klasszikus";"klasyczna";"Klasika";"Klasická hudba";"clasic"
"programme_genre/DVB/6.3";;"FOLK";"MUSIQUE FOLK";"VOLKSMUZIEK";"VOLKSMUSIK";"MUSIQUE FOLK";"MUSICA POPOLARE";"VOLKSMUSIK";"FOLK";"FOLK";"VOLKSMUSIK";"folkemusikk";"folkmusik";"Népzene";"folk";"Lidová muzika";"Ľudová hudba";"folk"
"programme_genre/DVB/6.4";;"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"JAZZ";"jazz";"jazz";"Jazz";"jazz";"Jazz";"Jazz";"jazz"
"programme_genre/DVB/6.5";;"MUSICAL & OPERA";"COMÉDIE MUSICALE/OPÉRA";"MUSICAL & OPERA";"MUSICAL/OPER";"COMÉDIE MUSICALE/OPÉRA";"MUSICAL & OPERA";"MUSICAL/OPER";"MÜZİKAL VE OPERA";"MUSICAL & OPERA";"MUSICAL/OPER";"musikal/opera";"musikal/opera";"Musical/Opera";"musical/opera";"Muzikál/Opera";"Muzikál/Opera";"musical/opera"
"programme_genre/DVB/6.6";;"BALLET";"BALLET";"BALLET";"BALLET";"BALLET";"DANZA CLASSICA";"BALLET";"BALE";"BALLET";"BALLET";"ballett";"balett";"Balett";"balet";"Balet";"Balet";"balet"
"programme_genre/DVB/6.7";;"OPERA";;"OPERA";"OPER";"OPÉRA";"OPERA";"OPER";"OPERA";"OPERA";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.8";;"DANCE/GROOVE";;"DANCE/GROOVE";"DANCE/GROOVE";"DANCE/GROOVE";"DANCE/GROOVE";"DANCE/GROOVE";"DANCE/GROOVE";"DANCE/GROOVE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.9";;"HIP HOP";;"HIP HOP";"HIP-HOP";"HIP-HOP";"HIP HOP";"HIP-HOP";"HIP HOP";"HIP HOP";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.10";;"URBAN/R&B";;"URBAN/R&B";"URBAN/R&B";"URBAN/R&B";"URBAN/R&B";"URBAN/R&B";"URBAN/R&B";"URBAN/R&B";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.11";;"CONCERT";;"CONCERT";"KONZERT";"CONCERT";"CONCERTO";"KONZERT";"KONSER";"CONCERT";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.12";;"MUSIC SPECIAL";;"MUSIC SPECIAL";"MUSIK SPECIAL";"MUSIC SPECIAL";"SPECIAL MUSICALE";"MUSIK SPECIAL";"MÜZİK ÖZEL";"MUSIC SPECIAL";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.13";;"COUNTRY & WESTERN";;"COUNTRY & WESTERN";"VOLKSMUSIK";"MUSIQUE FOLK";"MUSICA POPOLARE";"VOLKSMUSIK";"COUNTRY & WESTERN";"COUNTRY & WESTERN";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.14";;"SOUL";;"SOUL";"SOUL";"SOUL";"SOUL";"SOUL";"SOUL";"SOUL";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/6.15";;"EASY LISTENING";;"EASY LISTENING";"EASY LISTENING";"EASY LISTENING";"MUSICA LEGGERA";"EASY LISTENING";"KOLAY DİNLENİR";"EASY LISTENING";"EASY LISTENING";"easy listening";"easy listening";;"miłe dla ucha";;;"muzica de auditie"
"programme_genre/DVB/7.0";;"ARTS & CULTURE";"ARTS/CULTURE";"KUNST & CULTUUR";"KUNST & KULTUR";"ARTS & CULTURE";"ARTE & CULTURA";"KUNST & KULTUR";"SANAT VE KÜLTÜR";"ARTS & CULTURE";"KUNST/KULTUR";"kunst/kultur";"konst/kultur";"Művészet/Kultúra";"kultura/sztuka";"Umění/Kultura";"Umenie/Kultúra";"arte/cultura"
"programme_genre/DVB/7.1";;"PERFORMING ARTS";"THÉÂTRE/DANSE";"THEATER & DANS";"DARSTELLENDE KUNST";"THÉÂTRE & DANSE";"TEATRO & DANZA";"DARSTELLENDE KUNST";"GÖRSEL SANATLAR";"PERFORMING ARTS";"DARST. KUNST";"dans/teater";"dans/teater";"Előadóművészet";"sztuki teatralne";"Divadelní představení";"Divadelné predstavenie";"teatru/dans"
"programme_genre/DVB/7.2";;"FINE ARTS";"ARTS PLASTIQUES";"BEELDENDE KUNST";"BILDENDE KUNST";"ARTS PLASTIQUES";"ARTE FIGURATIVA";"BILDENDE KUNST";"GÜZEL SANATLAR";"FINE ARTS";"BILDENDE KUNST";"maling/skulptur";"målning/skulptur";"Képzőművészet";"sztuki piękne";"Výtvarní umění";"Výtvarné umenie";"arte "
"programme_genre/DVB/7.3";;"RELIGION";"RELIGION";"RELIGIE";"RELIGION";"RELIGION";"RELIGIONE";"RELIGION";"DİN";"RELIGION";"RELIGION";"religion";"religion";"Vallás";"religia";"Náboženství";"Náboženstvo";"religie"
"programme_genre/DVB/7.4";;"POPULAR CULTURE";"ARTS POPULAIRES";"POPART";"POPULÄRE KUNST";"ARTS POPULAIRES";"ARTE POPOLARE";"POPULÄRE KUNST";"POPÜLER KÜLTÜR";"POPULAR CULTURE";"POPULÄRE KUNST";"populærkultur";"populärkultur";"Populáris kultúra";"kultura popularna";"Populární kultura";"Populárna kultúra";"cultura populara"
"programme_genre/DVB/7.5";;"LITERATURE";"LITTÉRATURE";"LITERATUUR";"LITERATUR";"LITTÉRATURE";"LETTERATURA";"LITERATUR";"EDEBİYAT";"LITERATURE";"LITERATUR";"litteratur";"litteratur";"Irodalom";"literatura";"Literatura";"Literatúra";"literatura"
"programme_genre/DVB/7.6";;"FILM & CINEMA";"FILM/CINÉMA";"FILM & CINEMA";"FILM & KINO";"FILM & CINÉMA";"FILM & CINEMA";"FILM & KINO";"FİL VE SİNEMA";"FILM & CINEMA";"FILM/KINO";"film/kino";"film/bio";"Film/Mozi";"film/kino";"Film/Kino";"Film/Kino";"film/cinema"
"programme_genre/DVB/7.7";;"EXPERIMENTAL";;"EXPERIMENTEEL";"EXPERIMENTELLES";"EXPÉRIMENTAL";"SPERIMENTALE";"EXPERIMENTELLES";"DENEYSEL";"EXPERIMENTAL";"EXPERIMENTELLES";"eksperimentell";"experimentell";"Kísérleti ";"eksperymentalne";"Experimentální pořad";"Experimentálny program";"experimental"
"programme_genre/DVB/7.8";;"BROADCASTING";;"MEDIA";"MEDIEN/PRESSE";"MÉDIAS/PRESSE";"MEDIA/STAMPA";"MEDIEN/PRESSE";"YAYINCILIK";"BROADCASTING";"MEDIEN/PRESSE";"kringkasting";"media";"Rádió-televízió";"radio/telewizja";"Rádio-televize";"Rádio-televízia";"media"
"programme_genre/DVB/7.9";;"NEW MEDIA";;"NIEUWE MEDIA";"NEUE MEDIEN";"NOUVEAUX MÉDIAS";"NUOVI MEDIA";"NEUE MEDIEN";"YENİ MEDYA";"NEW MEDIA";"NEUE MEDIEN";"nye medier";"nya medier";"New Media";"nowe media";"Média";"Médiá";"media nou"
"programme_genre/DVB/7.10";;"ARTS MAGAZINES";"MAGAZINE D'ARTS";"KUNST MAGAZINE";"KUNST MAGAZIN";"MAGAZINE D'ARTS";"RIVISTA ARTE";"KUNST MAGAZIN";"SANAT DERGİLERİ";"ARTS MAGAZINES";"KUNST MAGAZIN";"kulturmagasin";"kulturmagasin";"Művészeti magazin";"magazyny o sztuce";"Umělecký magazín";"Umelecký magazín";"magazin de arte"
"programme_genre/DVB/7.11";;"FASHION";"MODE";"MODE";"MODE";"MODE";"MODA";"MODE";"MODA";"FASHION";"MODE";"mote";"mode";"Divat";"moda";"Móda";"Móda";"moda"
"programme_genre/DVB/7.12";;"ARCHITECTURE/DESIGN";;"ARCHITECTUUR/DESIGN";"ARCHITEKTUR/DESIGN";"ARCHITECTURE/DESIGN";"ARCHITETTURA/DESIGN";"ARCHITEKTUR/DESIGN";"MİMARİ/TASARIM";"ARCHITECTURE/DESIGN";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/7.13";;"ARTHOUSE";;"ARTHOUSE";"ARTHOUSE";"FILM D'AUTEUR";"FILM D'AUTORE";"ARTHOUSE";"SANAT";"ARTHOUSE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/7.14";;"PAINTING";;"SCHILDEREN";"MALEREI";"PEINTURE";"PITTURA";"MALEREI";"RESİM";"PAINTING";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/7.15";;"MUSIC";;"MUZIEK";"MUSIK";"MUSIQUE";"MUSICA";"MUSIK";"MÜZİK";"MUSIC";"MUSIK";"musikk";"musik";"Zene";"muzyka";"Hudební pořad";"Hudobný program";"muzica"
"programme_genre/DVB/8.0";;"SOCIAL & POLITICAL";"SOCIAL/POLITIQUE";"MAATSCHAPPELIJK";"SOZIALES & POLITIK";"SOCIAL & POLITIQUE";"SOCIALE & POLITICA";"SOZIALES & POLITIK";"SOSYAL VE POLİTİK";"SOCIAL & POLITICAL";"SOZIALES/POLITIK";"samfunn/politikk";"samhälle/politik";"Társadalmi/Politikai";"publicystyka";"Společnost/Politika";"Spoločnosť/Politika";"social/politic"
"programme_genre/DVB/8.1";;"DOCUMENTARY";;"DOCUMENTAIRE";"DOKUMENTATION";"DOCUMENTAIRES";"DOCUMENTARIO";"DOKUMENTATION";"BELGESEL";"DOCUMENTARY";"DOKUMENTATION";"dokumentar";"dokumentär";"Ismeretterjesztő";"dokument";"Dokument";"Dokument";"documentar"
"programme_genre/DVB/8.2";;"ECONOMICS";"ECONOMIE";"ECONOMIE";"WIRTSCHAFT";"ECONOMIE";"ECONOMIA";"WIRTSCHAFT";"EKONOMİ";"ECONOMICS";"WIRTSCHAFT";"økonomi";"ekonomi";"Gazdasági";"ekonomia";"Hospodářství";"Hospodárstvo";"economie"
"programme_genre/DVB/8.3";;"FAMOUS PEOPLE";"CÉLÉBRITÉS";"BEROEMDHEDEN";"BERÜHMTE LEUTE";"CÉLÉBRITÉS";"PERSONAGGI FAMOSI";"BERÜHMTE LEUTE";"ÜNLÜ KİŞİLER";"FAMOUS PEOPLE";"BERÜHMTE LEUTE";"kjendiser";"kändisar";"Híres emberek";"znani ludzie";"Známé osobnosti";;"personalitati"
"programme_genre/DVB/8.4";;"INTERNATIONAL";;"INTERNATIONAAL";"INTERNATIONALES";"INTERNATIONAL";"INTERNAZIONALE";"INTERNATIONALES";"ULUSLARARASI";"INTERNATIONAL";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.5";;"TRAFFIC";;"VERKEER";"VERKEHR";"CIRCULATION";"TRAFFICO";"VERKEHR";"TRAFİK";"TRAFFIC";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.6";;"GOVERNMENT";;"OVERHEID";"REGIERUNG";"GOUVERNEMENT";"GOVERNO";"REGIERUNG";"DEVLET";"GOVERNMENT";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.7";;"COMMUNITY";;"GEMEENSCHAP";"GEMEINDE";"COMMUNE";"COMUNITÀ";"GEMEINDE";"TOPLUM";"COMMUNITY";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.8";;"LOCAL";;"REGIONAAL";"LOKALES";"LOCAL";"LOCALE";"LOKALES";"YEREL";"LOCAL";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.9";;"CORPORATE";;"BEDRIJVEN";"UNTERNEHMEN";"ENTREPRISES";"AZIENDA";"UNTERNEHMEN";"KURUMSAL";"CORPORATE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.10";;"REAL WORLD";;"REAL WORLD";"REAL WORLD";"REAL WORLD";"REAL WORLD";"REAL WORLD";"GERÇEK DÜNYA";"REAL WORLD";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.11";;"HORROR/THRILLER";;"HORROR/THRILLER";"HORROR/THRILLER";"HORREUR/THRILLER";"HORROR/THRILLER";"HORROR/THRILLER";"KORKU/POLİSİYE";"HORROR/THRILLER";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.12";;"COMEDY/ROMANCE ";;"KOMEDIE/ROMANTIEK";"ROMANTIK/KOMÖDIE";"FILM D'AMOUR/COMÉDIE";"ROMANTICO/COMMEDIA";"ROMANTIK/KOMÖDIE";"KOMEDİ/ROMANTİK ";"COMEDY/ROMANCE ";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.13";;"COMEDY/ADVENTURE";;"KOMEDIE/AVONTUUR";"KOMÖDIE/ABENTEUER";"COMÉDIE/AVENTURE";"COMMEDIA/AVVENTURA";"KOMÖDIE/ABENTEUER";"KOMEDİ/MACERA";"COMEDY/ADVENTURE";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.14";;"COMEDY/DRAMA";;"KOMEDIE/DRAMA";"KOMÖDIE/DRAMA";"COMÉDIE/DRAME";"COMMEDIA/DRAMMATICO";"KOMÖDIE/DRAMA";"KOMEDİ/DRAM";"COMEDY/DRAMA";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/8.15";;"BLACK COMEDY";;"ZWARTE KOMEDIE";"SCHWARZE KOMÖDIE";"HUMOUR NOIR";"NOIR";"SCHWARZE KOMÖDIE";"KARA KOMEDİ";"BLACK COMEDY";"SCHWARZE KOMÖDIE";"svart komedie";"svart komedi";;"czarna komedia";;;"umor negru"
"programme_genre/DVB/9.0";;"EDUCATIONAL";"EDUCATIF";"EDUCATIE";"BILDUNG";"EDUCATIF";"EDUCAZIONE";"BILDUNG";"EĞİTİM";"EDUCATIONAL";"WISSENSCHAFT";"utdanning";"utbildning";"Oktatási";"edukacyjny";"Vzdělávací";"Vzdelávací";"educational"
"programme_genre/DVB/9.1";;"NATURE";"NATURE";"NATUUR";"NATUR";"NATURE";"NATURA";"NATUR";"DOĞA";"NATURE";"NATUR";"natur";"natur";"Természet";"przyroda";"Příroda";"Príroda";"natura"
"programme_genre/DVB/9.2";;"TECHNOLOGY";"TECHNOLOGIE";"TECHNOLOGIE";"TECHNOLOGIE";"TECHNOLOGIE";"TECNOLOGIA";"TECHNOLOGIE";"TEKNOLOJİ";"TECHNOLOGY";"TECHNOLOGIE";"teknologi";"teknik";"Technika";"technologia";"Technika";"Technika";"tehnologie"
"programme_genre/DVB/9.3";;"MEDICINE";"MÉDECINE";"GENEESKUNDE";"MEDIZIN";"MÉDECINE";"MEDICINA";"MEDIZIN";"İLAÇ";"MEDICINE";"MEDIZIN";"medisin";"medicin";"Orvostudomány";"medycyna";"Medicína";"Medicína";"medicina"
"programme_genre/DVB/9.4";;"EXPEDITIONS";"EXPÉDITIONS";"EXPEDITIES";"EXPEDITIONEN";"EXPÉDITIONS";"SPEDIZIONI";"EXPEDITIONEN";"GEZİ";"EXPEDITIONS";"EXPEDITIONEN";"ekspedisjoner";"expeditioner";"Expedíció";"wyprawy";"Expedice";"Expedície";"expeditii"
"programme_genre/DVB/9.5";;"SOCIAL SCIENCE";"SOCIAL";"SOCIOLOGIE";"SOZIALES";"SOCIAL";"SOCIALE";"SOZIALES";"SOSYAL BİLİM";"SOCIAL SCIENCE";"SOZIALES";"sosiologi";"samhällsprogram";"Társadalomtudomány";"nauki społeczne";"Společenské vědy";"Spoločenské vedy";"stiinta sociala"
"programme_genre/DVB/9.6";;"FURTHER EDUCATION";"FORMATION CONTINUE";"EDUCATIE DIVERS";"FORTBILDUNG";"FORMATION CONTINUE";"FORMAZIONE";"FORTBILDUNG";"YÜKSEK ÖĞRENİM";"FURTHER EDUCATION";"WEITERBILDUNG";"videreutdanning";"vidareutbildning";"Továbbtanulás";"dokształcanie";"Ďalší vzdělávání";"Ďalšie vzdelávanie";"educatie diversa"
"programme_genre/DVB/9.7";;"LANGUAGES";"LANGUES";"TALEN";"SPRACHEN";"LANGUES";"LINGUE";"SPRACHEN";"DİLLER";"LANGUAGES";"SPRACHEN";"språk";"språk";"Nyelvlecke";"kursy językowe";"Jazykové kurzy";"Jazykové kurzy";"lingvistica"
"programme_genre/DVB/9.8";;"PERSONAL DEVELOPMENT";;"PERSOONLIJKE ONTWIKKELING";"PERSÖNLICHKEITSENTWICKLUNG";"DÉVELOPPEMENT PERSONNEL";"SVILUPPO PERSONALE";"PERSÖNLICHKEITSENTWICKLUNG";"KİŞİSEL GELİŞİM";"PERSONAL DEVELOPMENT";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/9.9";;"OLDIES";;"GOUDEN OUDE";"OLDIES";"VIEUX TUBES";"OLDIES";"OLDIES";"NOSTALJİ";"OLDIES";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/9.10";;"1960'S";;"JAREN '60";"60IES";"ANNÉES 60";"ANNI '60";"60IES";"1960'LAR";"1960'S";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/9.11";;"1970'S";;"JAREN '70";"70IES";"ANNÉES 70";"ANNI '70";"70IES";"1970'LER";"1970'S";" ";" ";" ";" ";" ";" ";" ";" "
"programme_genre/DVB/9.12";;"1980'S";;"JAREN '80";"80IES";"ANNÉES 80";"ANNI '80";"80IES";"1980'LER";"1980'S";" ";" ";" ";" ";" ";" ";" ";" "
